,20/21,19/20,18/19,17/18,16/17,15/16,14/15,13/14,12/13,11/12
Arsenal,-67.35,-106.75,-72.25,5.15,-102.69,-24,-91.18,-37.1,9.85,12.82
Aston Villa,-79.58,-155.1,-3.55,15.03,-39.7,-1.85,-12.14,-11.74,-24.63,23.41
Brighton,-2.9,-67.44,-75.1,-66.6,-8.75,-13.47,9.42,3.2,-0.67,-4.15
Burnley,-1.1,-0.3,-25,14.26,-44.4,-5.01,-12.62,4.11,6.35,2.73
Chelsea,-189.9,112.27,-125.55,-65.9,-23.9,-9.01,5.11,-52.42,-84.25,-64.05
Crystal Palace,1.1,47.78,-11.5,-45.95,-51.1,-23.4,-28.35,-33,14.67,-0.77
Everton,-70.45,-40.5,-71.15,-76.82,-25.2,-37.9,-38.26,14.3,-2.9,19.6
Fulham,-37.25,-8.5,-111.15,-1.97,-1.77,0.86,0.47,-25.15,21.42,-10.46
Leeds,-106.78,30.4,-4.1,-10.93,-1,-1.46,3.72,-1.17,2.38,3.85
Leicester City,-10.23,-15.8,-18.8,-38.1,-26.05,-40.45,-22.86,0.65,-1.72,-16.71
Liverpool,-36.5,31.2,-140.88,20.62,5.48,-35.95,-52.16,-25.6,-60.15,-42.43
Man City,-110.15,-90.52,-20.99,-226.15,-179.65,-140.76,-72.28,-104.2,-17.65,-59.85
Man United,-68.5,-145.6,-52.15,-152.9,-137.75,-53.93,-146.09,-75.33,-66.8,-48.51
Newcastle,-38.48,-37.26,-8.7,-25.28,36.63,-102.28,-21.15,22.07,-17.17,-10.16
Sheffield United,-62.7,-71.15,5.7,-5.64,4.19,1.4,0.73,0.06,5.15,2.19
Southampton,-14,-31.3,-36.15,37.1,16.15,-7.4,27.83,-35.4,-41.5,8.73
Tottenham,-97.2,-84,5.35,-19.7,-31.2,16.58,-4.33,12.7,-0.47,34.25
West Brom,-32.85,5.77,11.41,-51.45,-10.93,-29.98,-22.58,-4.3,-1.28,1.98
West Ham,-3.8,-65.22,-86.04,12.22,-42.5,-34.19,-30.75,-23.47,-18.85,-2.69
Wolves,-2.6,-97.7,-89.45,-18.29,-33.11,5.73,-2.02,4.26,15.15,-9.45
